param,paper_symbol,output,timepoint,prcc,pvalue,significant,n_samples,n_params
r_prolif_by_H,p_r,P,35,-0.054751966297476834,0.08931407520680888,False,998,35
r_prolif_by_H_K,g_r,P,35,0.02076403927531119,0.5196259423131084,False,998,35
r_cleared_by_N,r,P,35,-0.04932048407584373,0.1259513603781845,False,998,35
r_decay,delta_r,P,35,-0.02190098768212092,0.4970182909072931,False,998,35
c_base_div,k_c,P,70,0.39566032206416796,1.7611128123685779e-37,True,998,35
c_boost_from_P,mu_c,P,70,0.09938922954851263,0.0020048004075425728,True,998,35
c_kill_by_E,d_c,P,70,-0.03304394663311652,0.3054062445474653,False,998,35
c_kill_by_N,b_c,P,70,0.006921943722301732,0.8300490530973705,False,998,35
c_R_blocks_E,r_1,P,70,0.056699225634637244,0.0784843209469381,False,998,35
K_C,1/a_c,P,70,0.14714990092767613,4.478775219446409e-06,True,998,35
p_base_div,k_p,P,70,0.24658791716882117,8.071611874154262e-15,True,998,35
p_boost_from_C,f_p,P,70,0.942553827648212,0.0,True,998,35
p_boost_from_C_K,mu_p,P,70,-0.45573454797914,1.3102009929064622e-50,True,998,35
p_base_death,lambda_p,P,70,0.0038807980681236864,0.9042165960667752,False,998,35
K_P,1/a_p,P,70,0.5922667732971469,2.4969737148887372e-92,True,998,35
e_base_birth,a_e,P,70,0.048316285047041906,0.1338554505354655,False,998,35
e_help_from_H,p_e,P,70,0.05329824621409031,0.09815776739813034,False,998,35
e_help_from_H_K,g_e,P,70,0.009777991029234802,0.7617345265869815,False,998,35
e_inact_by_C,c_e,P,70,-0.004548615426936223,0.8878347917381187,False,998,35
e_suppr_by_R,delta_e,P,70,-0.013199687731044359,0.6823087922325526,False,998,35
e_base_death,b_e,P,70,-0.015402443833443783,0.6329147703497617,False,998,35
n_base_birth,a_n,P,70,0.024559572116617044,0.44626313032543286,False,998,35
n_help_from_H,p_n,P,70,0.03037405807997443,0.34616287251682887,False,998,35
n_help_from_H_K,g_n,P,70,0.03444599431855021,0.2853307770097645,False,998,35
n_inact_by_C,c_n,P,70,0.03743966248880521,0.24550419482373828,False,998,35
n_suppr_by_R,delta_n,P,70,0.03099171012391874,0.3364396145144235,False,998,35
n_base_death,b_n,P,70,0.0006446028908721882,0.9840530323955048,False,998,35
h_base_birth,a_h,P,70,0.07222245599999026,0.024935046765309072,False,998,35
h_self_act,p_h,P,70,-0.0030708427909302235,0.9241391955852085,False,998,35
h_self_act_K,g_h,P,70,0.020024737264315504,0.5346057873285115,False,998,35
h_suppr_by_R,delta_h,P,70,-0.0030619401662201097,0.9243584622846163,False,998,35
h_base_death,b_h,P,70,-0.012448338168986831,0.6994864171265734,False,998,35
r_base_src,a,P,70,-0.007606997934608654,0.8135244662113887,False,998,35
r_induced_by_E,a_r,P,70,-0.025896078520928557,0.4219042326190471,False,998,35
r_induced_by_H,b_r,P,70,-0.0052750614355494925,0.8700691995174369,False,998,35
r_prolif_by_H,p_r,P,70,-0.035453858372061185,0.27146228982850695,False,998,35
r_prolif_by_H_K,g_r,P,70,0.023506753452050617,0.46600185665351546,False,998,35
r_cleared_by_N,r,P,70,-0.03457514647489539,0.28352736363225034,False,998,35
r_decay,delta_r,P,70,-0.013678826502988411,0.6714390714125389,False,998,35
c_base_div,k_c,P,100,0.11761862823711518,0.00025237635995657763,True,998,35
c_boost_from_P,mu_c,P,100,0.019915730009332833,0.5368327703650086,False,998,35
c_kill_by_E,d_c,P,100,0.002698122106933927,0.933323819545941,False,998,35
c_kill_by_N,b_c,P,100,-0.018335749333428256,0.569624965717282,False,998,35
c_R_blocks_E,r_1,P,100,0.04083737490944022,0.20522092292003255,False,998,35
K_C,1/a_c,P,100,0.08119689719019398,0.011671498328065482,False,998,35
p_base_div,k_p,P,100,0.16667363165180385,1.9433749995243967e-07,True,998,35
p_boost_from_C,f_p,P,100,0.7360684889034652,3.250024899145812e-165,True,998,35
p_boost_from_C_K,mu_p,P,100,-0.23640573840127588,1.0367224520352995e-13,True,998,35
p_base_death,lambda_p,P,100,0.004848725796337339,0.880488099492334,False,998,35
K_P,1/a_p,P,100,0.823337386782181,7.048060886007176e-239,True,998,35
e_base_birth,a_e,P,100,0.023708155355506185,0.46218884968231955,False,998,35
e_help_from_H,p_e,P,100,0.027768309908736116,0.38912369256370394,False,998,35
e_help_from_H_K,g_e,P,100,0.032817978793732286,0.30872727744544176,False,998,35
e_inact_by_C,c_e,P,100,0.017390037639619375,0.5896990445235017,False,998,35
e_suppr_by_R,delta_e,P,100,-0.033215690365558215,0.30289802253291626,False,998,35
e_base_death,b_e,P,100,0.030007635924668808,0.35201480969369614,False,998,35
n_base_birth,a_n,P,100,-0.02643823788859432,0.41224920847863566,False,998,35
n_help_from_H,p_n,P,100,-0.011943035300056025,0.711126469568814,False,998,35
n_help_from_H_K,g_n,P,100,0.01208762311793733,0.707788758213645,False,998,35
n_inact_by_C,c_n,P,100,0.03663173078561076,0.2558475675513214,False,998,35
n_suppr_by_R,delta_n,P,100,0.0046523918681939365,0.8852932264488605,False,998,35
n_base_death,b_n,P,100,-0.0065842055910863345,0.838224020775153,False,998,35
h_base_birth,a_h,P,100,0.02040974202079688,0.5267776934768391,False,998,35
h_self_act,p_h,P,100,-0.018305709106291514,0.570257576109972,False,998,35
h_self_act_K,g_h,P,100,0.020021504592045224,0.5346717627554809,False,998,35
h_suppr_by_R,delta_h,P,100,0.017436818183923196,0.5886984475506307,False,998,35
h_base_death,b_h,P,100,-0.0017102787349322025,0.9577060336563269,False,998,35
r_base_src,a,P,100,-0.026388777517838316,0.4131245618190479,False,998,35
r_induced_by_E,a_r,P,100,0.004943830117891753,0.8781620592858249,False,998,35
r_induced_by_H,b_r,P,100,-0.03825824453709029,0.2353267840917579,False,998,35
r_prolif_by_H,p_r,P,100,-0.0283045383145764,0.38002791772907885,False,998,35
r_prolif_by_H_K,g_r,P,100,0.03510369121282392,0.2762274735897138,False,998,35
r_cleared_by_N,r,P,100,0.029736580723690505,0.3563836910635796,False,998,35
r_decay,delta_r,P,100,-0.004521278101542855,0.8885044967330409,False,998,35
c_base_div,k_c,E,35,-0.9122269215840478,0.0,True,998,35
c_boost_from_P,mu_c,E,35,-0.016679731434977182,0.6049871053008007,False,998,35
c_kill_by_E,d_c,E,35,0.016104571900295496,0.6174947964600568,False,998,35
c_kill_by_N,b_c,E,35,0.030411514697670068,0.34556817780706417,False,998,35
c_R_blocks_E,r_1,E,35,-0.030167730613295047,0.3494503693708215,False,998,35
K_C,1/a_c,E,35,-0.3902551336673129,2.000497565133175e-36,True,998,35
p_base_div,k_p,E,35,0.04385474259897664,0.17367007627144063,False,998,35
p_boost_from_C,f_p,E,35,-0.011316180656539634,0.7256602902637616,False,998,35
p_boost_from_C_K,mu_p,E,35,0.008238615909488902,0.7983617505447433,False,998,35
p_base_death,lambda_p,E,35,0.029509492141089957,0.3600700675228844,False,998,35
K_P,1/a_p,E,35,0.03316119246749683,0.30369244856080035,False,998,35
e_base_birth,a_e,E,35,0.09492932026500807,0.003175278947808915,True,998,35
