param,paper_symbol,output,timepoint,baseline_value,out_x0.5,elasticity_x0.5,out_x2,elasticity_x2,elasticity
c_base_div,k_c,E,70,9.0,62.0,-11.777777777777779,6.0,-0.3333333333333333,-6.055555555555556
c_base_div,k_c,E,100,9.0,11.0,-0.4444444444444444,7.0,-0.2222222222222222,-0.3333333333333333
c_base_div,k_c,N,7,2350.0,2350.0,-0.0,2350.0,0.0,0.0
c_base_div,k_c,N,35,767.0,749.0,0.0469361147327249,653.0,-0.14863102998696218,-0.050847457627118633
c_base_div,k_c,N,70,146.0,164.0,-0.2465753424657534,116.0,-0.2054794520547945,-0.22602739726027396
c_base_div,k_c,N,100,56.0,60.0,-0.14285714285714285,41.0,-0.26785714285714285,-0.20535714285714285
c_base_div,k_c,H,7,10340.0,10340.0,-0.0,10340.0,0.0,0.0
c_base_div,k_c,H,35,6706.0,6633.0,0.02177154786758127,6636.0,-0.010438413361169102,0.005666567253206084
c_base_div,k_c,H,70,2121.0,2044.0,0.07260726072607261,2076.0,-0.021216407355021217,0.0256954266855257
c_base_div,k_c,H,100,466.0,455.0,0.04721030042918455,469.0,0.006437768240343348,0.02682403433476395
c_base_div,k_c,R,7,780.0,780.0,-0.0,780.0,0.0,0.0
c_base_div,k_c,R,35,2457.0,2457.0,-0.0,2463.0,0.002442002442002442,0.001221001221001221
c_base_div,k_c,R,70,4481.0,4482.0,-0.0004463289444320464,4486.0,0.0011158223610801161,0.00033474670832403487
c_base_div,k_c,R,100,6176.0,6176.0,-0.0,6175.0,-0.00016191709844559586,-8.095854922279793e-05
c_boost_from_P,mu_c,C,7,4890.0,4890.0,-0.0,4890.0,0.0,0.0
c_boost_from_P,mu_c,C,35,32256.0,32142.0,0.007068452380952381,32396.0,0.004340277777777778,0.00570436507936508
c_boost_from_P,mu_c,C,70,81315.0,81293.0,0.0005411055770768001,81667.0,0.004328844616614401,0.002434975096845601
c_boost_from_P,mu_c,C,100,87320.0,87230.0,0.002061383417315621,87377.0,0.0006527714154832798,0.0013570774163994504
c_boost_from_P,mu_c,P,7,30.0,30.0,-0.0,30.0,0.0,0.0
c_boost_from_P,mu_c,P,35,295.0,346.0,-0.34576271186440677,438.0,0.4847457627118644,0.06949152542372883
c_boost_from_P,mu_c,P,70,17844.0,18553.0,-0.07946648733467833,22527.0,0.26244115669132484,0.09148733467832326
c_boost_from_P,mu_c,P,100,43329.0,43345.0,-0.0007385353920007385,43510.0,0.004177340811004178,0.0017194027095017196
c_boost_from_P,mu_c,E,7,4270.0,4270.0,-0.0,4270.0,0.0,0.0
c_boost_from_P,mu_c,E,35,708.0,684.0,0.06779661016949153,702.0,-0.00847457627118644,0.029661016949152543
c_boost_from_P,mu_c,E,70,9.0,6.0,0.6666666666666666,7.0,-0.2222222222222222,0.2222222222222222
c_boost_from_P,mu_c,E,100,9.0,5.0,0.8888888888888888,7.0,-0.2222222222222222,0.3333333333333333
c_boost_from_P,mu_c,N,7,2350.0,2350.0,-0.0,2350.0,0.0,0.0
c_boost_from_P,mu_c,N,35,767.0,711.0,0.14602346805736635,712.0,-0.07170795306388526,0.037157757496740544
c_boost_from_P,mu_c,N,70,146.0,161.0,-0.2054794520547945,149.0,0.02054794520547945,-0.09246575342465753
c_boost_from_P,mu_c,N,100,56.0,51.0,0.17857142857142858,56.0,0.0,0.08928571428571429
c_boost_from_P,mu_c,H,7,10340.0,10340.0,-0.0,10340.0,0.0,0.0
c_boost_from_P,mu_c,H,35,6706.0,6662.0,0.0131225767968983,6716.0,0.0014912019087384432,0.007306889352818371
c_boost_from_P,mu_c,H,70,2121.0,2056.0,0.061291843470061294,2089.0,-0.015087223008015087,0.023102310231023104
c_boost_from_P,mu_c,H,100,466.0,486.0,-0.08583690987124463,468.0,0.004291845493562232,-0.0407725321888412
c_boost_from_P,mu_c,R,7,780.0,780.0,-0.0,780.0,0.0,0.0
c_boost_from_P,mu_c,R,35,2457.0,2457.0,-0.0,2457.0,0.0,0.0
c_boost_from_P,mu_c,R,70,4481.0,4475.0,0.0026779736665922785,4482.0,0.0002231644722160232,0.001450569069404151
c_boost_from_P,mu_c,R,100,6176.0,6169.0,0.0022668393782383418,6176.0,0.0,0.0011334196891191709
c_kill_by_E,d_c,C,7,4890.0,4890.0,-0.0,4890.0,0.0,0.0
c_kill_by_E,d_c,C,35,32256.0,32353.0,-0.006014384920634921,31724.0,-0.016493055555555556,-0.011253720238095238
c_kill_by_E,d_c,C,70,81315.0,81574.0,-0.006370288384676874,81298.0,-0.0002090635184160364,-0.003289675951546455
c_kill_by_E,d_c,C,100,87320.0,87310.0,0.00022904260192395785,87260.0,-0.0006871278057718735,-0.00022904260192395783
c_kill_by_E,d_c,P,7,30.0,30.0,-0.0,30.0,0.0,0.0
c_kill_by_E,d_c,P,35,295.0,391.0,-0.6508474576271186,383.0,0.2983050847457627,-0.17627118644067793
c_kill_by_E,d_c,P,70,17844.0,21944.0,-0.4595382201300157,20368.0,0.1414481058058731,-0.1590450571620713
c_kill_by_E,d_c,P,100,43329.0,43484.0,-0.007154561610007154,43427.0,0.0022617646380022616,-0.0024463984860024464
c_kill_by_E,d_c,E,7,4270.0,4270.0,-0.0,4270.0,0.0,0.0
c_kill_by_E,d_c,E,35,708.0,741.0,-0.09322033898305085,723.0,0.0211864406779661,-0.036016949152542374
c_kill_by_E,d_c,E,70,9.0,15.0,-1.3333333333333333,10.0,0.1111111111111111,-0.611111111111111
c_kill_by_E,d_c,E,100,9.0,6.0,0.6666666666666666,9.0,0.0,0.3333333333333333
c_kill_by_E,d_c,N,7,2350.0,2350.0,-0.0,2350.0,0.0,0.0
c_kill_by_E,d_c,N,35,767.0,710.0,0.14863102998696218,708.0,-0.07692307692307693,0.035853976531942625
c_kill_by_E,d_c,N,70,146.0,169.0,-0.3150684931506849,163.0,0.11643835616438356,-0.09931506849315068
c_kill_by_E,d_c,N,100,56.0,68.0,-0.42857142857142855,49.0,-0.125,-0.2767857142857143
c_kill_by_E,d_c,H,7,10340.0,10340.0,-0.0,10340.0,0.0,0.0
c_kill_by_E,d_c,H,35,6706.0,6633.0,0.02177154786758127,6630.0,-0.011333134506412169,0.00521920668058455
