output,timepoint,param,paper_symbol,prcc,pvalue
R,35,r_prolif_by_H,p_r,0.0839749381317605,0.0090937634870482
R,70,r_base_src,a,0.9995849449171348,0.0
R,70,r_induced_by_H,b_r,0.8625676791689254,6.59090711448287e-287
R,70,h_suppr_by_R,delta_h,-0.6055554128897099,1.5934790061839452e-97
R,70,r_induced_by_E,a_r,0.1471954495491307,4.448081957695287e-06
R,70,r_prolif_by_H_K,g_r,-0.1097361253922975,0.0006424791312643
R,70,r_prolif_by_H,p_r,0.0935183234132363,0.0036585536444399
R,100,r_base_src,a,0.9996886912020392,0.0
R,100,r_induced_by_H,b_r,0.8274387946070019,2.560739797816622e-243
R,100,h_suppr_by_R,delta_h,-0.6693811678072144,2.6901895671040568e-126
R,100,r_induced_by_E,a_r,0.1117263142090953,0.0005102767782958
R,100,r_prolif_by_H_K,g_r,-0.1053255582358174,0.0010564136545969
R,100,r_prolif_by_H,p_r,0.0899989696415545,0.005168013362398
