step,days,C,P,E,N,H,R,total
406,0.281944,613,238,119,80,178,40,1268
407,0.282639,613,238,119,80,178,40,1268
408,0.283333,613,238,119,80,178,40,1268
409,0.284028,613,238,119,80,178,40,1268
410,0.284722,613,238,119,80,178,40,1268
411,0.285417,613,238,119,80,178,40,1268
412,0.286111,613,238,119,80,178,40,1268
413,0.286806,613,238,119,80,178,40,1268
414,0.2875,613,238,119,80,178,40,1268
415,0.288194,613,238,119,80,178,40,1268
416,0.288889,613,238,119,80,178,40,1268
417,0.289583,613,238,119,80,178,40,1268
418,0.290278,613,238,119,80,178,40,1268
419,0.290972,613,238,119,80,178,40,1268
420,0.291667,613,238,119,80,178,40,1268
421,0.292361,614,238,119,80,178,40,1269
422,0.293056,614,238,119,80,178,40,1269
423,0.29375,614,238,119,80,178,40,1269
424,0.294444,614,238,119,80,178,40,1269
425,0.295139,614,238,119,80,178,40,1269
426,0.295833,614,238,119,80,178,40,1269
427,0.296528,614,238,119,80,178,40,1269
428,0.297222,614,239,119,80,178,40,1270
429,0.297917,614,239,119,80,178,40,1270
430,0.298611,614,239,119,80,178,40,1270
431,0.299306,614,239,119,80,178,40,1270
432,0.3,614,239,119,80,178,40,1270
433,0.300694,614,239,119,80,178,40,1270
434,0.301389,614,239,119,80,178,40,1270
435,0.302083,614,239,119,80,178,40,1270
436,0.302778,614,239,119,80,178,40,1270
437,0.303472,614,239,119,80,178,40,1270
438,0.304167,614,239,119,80,178,40,1270
439,0.304861,614,239,119,80,178,40,1270
440,0.305556,614,239,119,80,178,40,1270
441,0.30625,614,239,119,80,178,40,1270
442,0.306944,614,239,119,80,178,40,1270
443,0.307639,614,239,119,80,178,40,1270
444,0.308333,614,238,119,80,178,40,1269
445,0.309028,614,238,119,80,178,40,1269
446,0.309722,614,238,119,80,178,40,1269
447,0.310417,614,238,119,80,178,40,1269
448,0.311111,614,238,119,80,178,40,1269
449,0.311806,614,238,119,80,178,40,1269
450,0.3125,614,238,119,80,178,40,1269
451,0.313194,614,238,119,80,178,40,1269
452,0.313889,614,238,119,80,178,40,1269
453,0.314583,614,238,119,80,178,40,1269
454,0.315278,614,238,119,80,178,40,1269
455,0.315972,614,237,119,80,178,40,1268
456,0.316667,614,237,119,80,178,40,1268
457,0.317361,614,237,119,80,178,40,1268
458,0.318056,614,237,119,80,178,40,1268
459,0.31875,614,237,119,80,178,40,1268
460,0.319444,614,237,119,80,178,40,1268
461,0.320139,614,237,119,80,177,40,1267
462,0.320833,614,237,119,80,177,40,1267
463,0.321528,614,237,119,80,177,40,1267
464,0.322222,614,237,119,80,177,40,1267
465,0.322917,614,237,119,80,177,40,1267
466,0.323611,614,237,119,80,177,40,1267
467,0.324306,614,237,119,80,177,40,1267
468,0.325,614,237,119,80,177,40,1267
469,0.325694,614,237,119,80,177,40,1267
470,0.326389,614,237,119,80,177,40,1267
471,0.327083,614,237,119,80,177,40,1267
472,0.327778,614,237,119,80,177,40,1267
473,0.328472,614,237,119,80,177,40,1267
474,0.329167,614,237,119,80,177,40,1267
475,0.329861,614,237,119,80,177,40,1267
476,0.330556,614,237,119,80,177,40,1267
477,0.33125,614,237,119,80,177,40,1267
478,0.331944,614,237,119,79,177,40,1266
479,0.332639,614,237,119,79,177,40,1266
480,0.333333,614,237,119,79,177,40,1266
481,0.334028,614,237,119,79,177,40,1266
482,0.334722,614,237,119,79,177,40,1266
